atr_length,atr_multiplier,bb_length,bb_std,ema_trend,macd_fast,macd_signal,macd_slow,rsi_period,stoch_d,stoch_k,stoch_overbought,stoch_oversold,stoch_smooth,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
14,1.5,20,2,200,12,9,26,14,3,14,70,20,3,10000,4346.5,-5653.5,-56.54,-56.63,-0.25,-0.16,-0.92,61.88,2002,11.79,1.05,-2.82,98.31,-85.61,0.00075,0.0005,43.79,-100.33
14,2.0,20,2,200,12,9,26,14,3,14,70,20,3,10000,4346.5,-5653.5,-56.54,-56.63,-0.25,-0.16,-0.92,61.88,2002,11.79,1.05,-2.82,98.31,-85.61,0.00075,0.0005,43.41,-99.95
14,2.5,20,2,200,12,9,26,14,3,14,70,20,3,10000,4346.5,-5653.5,-56.54,-56.63,-0.25,-0.16,-0.92,61.88,2002,11.79,1.05,-2.82,98.31,-85.61,0.00075,0.0005,43.47,-100.01
14,1.5,20,2,200,12,9,26,14,3,14,75,20,3,10000,3704.83,-6295.17,-62.95,-63.05,-0.27,-0.18,-0.94,67.11,1897,12.44,1.07,-3.32,97.96,-77.01,0.00075,0.0005,43.94,-106.89
14,2.5,20,2,200,12,9,26,14,3,14,75,20,3,10000,3704.83,-6295.17,-62.95,-62.95,-0.27,-0.18,-0.94,67.11,1897,12.44,1.07,-3.32,97.96,-77.01,0.00075,0.0005,43.33,-106.28
14,2.0,20,2,200,12,9,26,14,3,14,75,20,3,10000,3704.83,-6295.17,-62.95,-63.05,-0.27,-0.18,-0.94,67.11,1897,12.44,1.07,-3.32,97.96,-77.01,0.00075,0.0005,43.4,-106.35
14,2.5,20,2,200,12,9,26,14,3,14,80,20,3,10000,2972.9,-7027.1,-70.27,-70.37,-0.3,-0.2,-0.94,74.79,1790,13.18,1.08,-3.93,97.8,-59.26,0.00075,0.0005,43.42,-113.69
14,1.5,20,2,200,12,9,26,14,3,14,80,20,3,10000,2972.9,-7027.1,-70.27,-70.37,-0.3,-0.2,-0.94,74.79,1790,13.18,1.08,-3.93,97.8,-59.26,0.00075,0.0005,43.61,-113.88
14,2.0,20,2,200,12,9,26,14,3,14,80,20,3,10000,2972.9,-7027.1,-70.27,-70.37,-0.3,-0.2,-0.94,74.79,1790,13.18,1.08,-3.93,97.8,-59.26,0.00075,0.0005,43.59,-113.86
14,2.0,20,2,200,12,9,26,14,3,14,75,30,3,10000,2776.68,-7223.32,-72.23,-72.33,-0.31,-0.23,-0.96,75.38,2095,14.84,1.0,-3.45,148.77,-136.2,0.00075,0.0005,43.68,-115.91
