donchian_period,ema_filter_period,sl_multiplier,tp_multiplier,profit_factor,num_trades,win_rate_pct,total_return_pct,sharpe_ratio,max_drawdown_pct,final_value,annual_return_pct,sortino_ratio,calmar_ratio
10,75,4.0,4.0,1.18,73,56.16,11.03,0.06,10.63,11102.76,11.06,0.01,1.04
10,50,4.0,4.0,1.09,76,55.26,5.9,0.04,12.24,10590.32,5.92,0.0,0.48
10,75,3.0,4.0,1.08,75,49.33,4.21,0.03,8.41,10420.91,4.22,0.0,0.5
10,50,3.0,4.0,1.02,78,48.72,0.96,0.01,9.59,10096.18,0.96,0.0,0.1
10,50,4.0,3.0,1.02,80,62.5,1.35,0.01,11.58,10135.44,1.36,0.0,0.12
10,25,4.0,4.0,0.99,81,53.09,-0.97,0.0,14.17,9903.15,-0.97,0.0,-0.07
10,25,3.0,4.0,0.99,83,48.19,-0.36,0.0,11.1,9964.13,-0.36,0.0,-0.03
7,75,4.0,4.0,0.98,99,51.52,-1.92,-0.0,19.75,9808.32,-1.92,-0.0,-0.1
5,75,4.0,4.0,0.97,127,51.97,-2.81,-0.0,24.59,9719.38,-2.81,-0.0,-0.11
10,50,3.0,3.0,0.97,81,55.56,-1.39,-0.0,8.7,9860.69,-1.4,-0.0,-0.16
10,75,4.0,3.0,0.96,75,61.33,-2.02,-0.01,14.78,9797.86,-2.03,-0.0,-0.14
5,25,4.0,4.0,0.95,140,51.43,-5.53,-0.01,23.69,9447.18,-5.54,-0.0,-0.23
10,25,3.0,3.0,0.94,86,54.65,-3.29,-0.02,10.04,9671.01,-3.3,-0.0,-0.33
7,75,3.0,4.0,0.94,102,45.1,-4.51,-0.02,15.04,9548.5,-4.53,-0.0,-0.3
10,25,4.0,3.0,0.92,85,60.0,-5.31,-0.02,15.49,9468.64,-5.33,-0.0,-0.34
5,50,4.0,4.0,0.92,130,51.54,-8.27,-0.03,26.71,9172.76,-8.29,-0.0,-0.31
7,25,3.0,4.0,0.92,112,44.64,-6.74,-0.03,16.3,9325.98,-6.76,-0.0,-0.41
10,75,3.0,3.0,0.9,76,53.95,-5.11,-0.03,10.3,9488.96,-5.12,-0.0,-0.5
7,50,4.0,4.0,0.9,103,50.49,-8.77,-0.03,21.91,9122.93,-8.79,-0.0,-0.4
5,75,3.0,4.0,0.89,132,43.94,-9.56,-0.04,21.73,9043.52,-9.59,-0.01,-0.44
10,25,4.0,2.0,0.89,87,70.11,-5.2,-0.03,13.62,9480.17,-5.21,-0.0,-0.38
5,25,3.0,4.0,0.89,144,43.75,-11.3,-0.05,23.72,8870.05,-11.33,-0.01,-0.48
7,50,3.0,4.0,0.88,106,44.34,-9.24,-0.04,16.53,9075.51,-9.27,-0.01,-0.56
7,25,4.0,4.0,0.88,110,49.09,-10.97,-0.05,22.53,8902.62,-11.0,-0.0,-0.49
10,50,4.0,2.0,0.87,81,69.14,-6.03,-0.04,13.23,9397.33,-6.04,-0.0,-0.46
5,25,4.0,2.0,0.87,149,67.11,-10.33,-0.06,20.12,8967.08,-10.36,-0.01,-0.51
5,50,3.0,4.0,0.86,135,43.7,-13.08,-0.06,22.32,8692.46,-13.11,-0.01,-0.59
7,25,3.0,3.0,0.86,116,50.86,-10.53,-0.06,19.79,8946.57,-10.56,-0.01,-0.53
10,50,2.0,4.0,0.84,81,38.27,-8.29,-0.06,13.07,9170.56,-8.32,-0.01,-0.64
10,50,2.0,3.0,0.84,84,45.24,-7.54,-0.06,12.71,9245.84,-7.56,-0.01,-0.59
5,25,2.0,4.0,0.83,150,36.0,-15.2,-0.08,25.56,8480.25,-15.24,-0.02,-0.6
7,50,3.0,3.0,0.83,110,50.91,-11.88,-0.07,19.36,8811.9,-11.91,-0.01,-0.62
7,25,2.0,4.0,0.83,116,37.07,-12.34,-0.08,22.18,8765.57,-12.38,-0.01,-0.56
10,25,2.0,4.0,0.83,86,37.21,-9.37,-0.06,15.97,9063.23,-9.39,-0.01,-0.59
10,75,4.0,2.0,0.83,76,68.42,-7.39,-0.05,14.88,9261.07,-7.41,-0.0,-0.5
10,25,2.0,3.0,0.82,89,43.82,-9.05,-0.07,15.25,9094.72,-9.08,-0.01,-0.6
5,25,3.0,3.0,0.82,149,48.99,-17.59,-0.1,26.21,8241.48,-17.63,-0.01,-0.67
10,75,2.0,4.0,0.81,78,35.9,-9.24,-0.07,13.06,9076.27,-9.26,-0.01,-0.71
