donchian_period,ema_filter_period,sl_multiplier,tp_multiplier,profit_factor,num_trades,win_rate_pct,total_return_pct,sharpe_ratio,max_drawdown_pct,final_value,annual_return_pct,sortino_ratio,calmar_ratio
15,50,4.0,4.0,0.78,474,50.0,-39.3,-0.11,45.83,6070.21,-39.38,-0.01,-0.86
10,50,4.0,4.0,0.77,628,47.61,-47.62,-0.13,55.09,5238.17,-47.71,-0.02,-0.87
15,50,3.0,4.0,0.76,502,44.82,-40.1,-0.12,47.42,5990.35,-40.18,-0.02,-0.85
10,50,3.0,4.0,0.75,667,42.28,-50.95,-0.16,57.73,4904.83,-51.05,-0.03,-0.88
15,50,4.0,3.0,0.73,492,57.32,-42.12,-0.13,47.44,5787.54,-42.21,-0.02,-0.89
10,100,3.0,4.0,0.73,618,42.39,-51.79,-0.17,55.99,4820.94,-51.89,-0.03,-0.93
15,100,3.0,4.0,0.73,470,44.47,-42.35,-0.14,45.04,5765.24,-42.43,-0.02,-0.94
15,50,3.0,3.0,0.73,517,51.64,-41.58,-0.15,46.53,5841.86,-41.67,-0.02,-0.9
15,100,4.0,4.0,0.72,440,49.32,-44.1,-0.13,47.55,5590.23,-44.19,-0.02,-0.93
10,100,4.0,4.0,0.72,580,47.41,-52.38,-0.15,56.28,4761.81,-52.48,-0.02,-0.93
10,50,3.0,3.0,0.71,687,48.76,-53.61,-0.19,58.52,4638.93,-53.71,-0.03,-0.92
20,50,3.0,4.0,0.71,399,44.11,-39.68,-0.13,44.88,6031.74,-39.77,-0.02,-0.89
20,50,4.0,4.0,0.71,374,48.66,-41.27,-0.12,46.91,5872.94,-41.36,-0.01,-0.88
10,50,4.0,3.0,0.71,650,54.31,-53.5,-0.17,58.54,4649.56,-53.6,-0.02,-0.92
10,150,3.0,4.0,0.69,608,40.62,-57.08,-0.2,59.99,4292.34,-57.18,-0.03,-0.95
15,150,3.0,4.0,0.68,453,42.6,-47.65,-0.17,49.84,5234.88,-47.74,-0.02,-0.96
20,50,3.0,3.0,0.68,407,50.86,-41.1,-0.16,44.1,5889.58,-41.19,-0.02,-0.93
15,100,4.0,3.0,0.68,456,56.8,-45.74,-0.16,48.32,5426.36,-45.83,-0.02,-0.95
15,100,3.0,3.0,0.68,483,51.14,-45.25,-0.18,47.52,5475.38,-45.34,-0.02,-0.95
15,150,4.0,4.0,0.67,421,47.27,-50.42,-0.17,52.97,4958.37,-50.51,-0.02,-0.95
20,100,3.0,4.0,0.67,371,43.67,-41.8,-0.16,43.63,5819.61,-41.89,-0.02,-0.96
10,150,4.0,4.0,0.67,567,45.15,-59.56,-0.19,62.49,4043.79,-59.66,-0.03,-0.95
10,100,4.0,3.0,0.67,600,54.5,-55.28,-0.19,58.51,4471.6,-55.38,-0.02,-0.95
10,100,3.0,3.0,0.67,636,48.74,-55.59,-0.22,58.66,4441.0,-55.69,-0.03,-0.95
20,50,4.0,3.0,0.66,385,56.1,-43.91,-0.15,47.36,5609.48,-43.99,-0.02,-0.93
15,150,3.0,3.0,0.65,464,49.57,-48.82,-0.2,50.84,5117.57,-48.92,-0.03,-0.96
20,100,4.0,4.0,0.65,347,48.13,-45.13,-0.15,48.17,5486.79,-45.22,-0.02,-0.94
15,150,4.0,3.0,0.64,435,55.17,-49.74,-0.18,51.89,5026.0,-49.83,-0.02,-0.96
10,150,3.0,3.0,0.63,623,47.03,-60.36,-0.25,62.86,3964.38,-60.46,-0.04,-0.96
10,150,4.0,3.0,0.63,585,52.65,-60.66,-0.22,63.1,3934.35,-60.76,-0.03,-0.96
20,100,3.0,3.0,0.63,379,50.4,-43.54,-0.19,44.19,5646.4,-43.62,-0.02,-0.99
20,150,3.0,4.0,0.63,358,41.9,-45.55,-0.18,46.36,5444.66,-45.64,-0.02,-0.98
20,100,4.0,3.0,0.61,357,55.74,-45.73,-0.17,47.0,5426.52,-45.83,-0.02,-0.98
20,150,4.0,4.0,0.61,332,46.08,-49.58,-0.18,51.37,5041.8,-49.68,-0.02,-0.97
20,150,3.0,3.0,0.59,364,48.63,-46.9,-0.21,47.08,5309.63,-47.0,-0.02,-1.0
20,150,4.0,3.0,0.58,340,53.82,-49.42,-0.2,49.97,5058.29,-49.51,-0.02,-0.99
