ema_filter_periodo,macd_fast,macd_slow,macd_signal,sl_multiplier,tp_multiplier,profit_factor,num_trades,win_rate_pct,total_return_pct,sharpe_ratio,max_drawdown_pct,final_value,annual_return_pct
100,12,26,9,2.0,2.0,0.69,3127,49.02,-96.42,-0.48,96.58,357.61,-96.46
100,12,26,9,2.0,3.0,0.72,2786,38.84,-94.73,-0.36,95.07,526.75,-94.77
100,12,26,9,2.0,4.0,0.79,2525,32.71,-90.63,-0.26,91.76,936.87,-90.69
100,12,26,9,3.0,2.0,0.69,2768,55.31,-95.55,-0.4,95.78,444.66,-95.59
100,12,26,9,3.0,3.0,0.73,2402,44.63,-94.01,-0.31,94.66,599.38,-94.05
100,12,26,9,3.0,4.0,0.8,2155,38.19,-88.36,-0.22,89.94,1164.48,-88.42
150,12,26,9,2.0,2.0,0.67,3125,49.25,-97.02,-0.5,97.15,297.53,-97.05
150,12,26,9,2.0,3.0,0.71,2781,39.16,-95.63,-0.38,95.86,436.86,-95.67
150,12,26,9,2.0,4.0,0.78,2515,32.88,-92.29,-0.28,93.15,770.92,-92.34
150,12,26,9,3.0,2.0,0.68,2704,56.4,-95.85,-0.41,96.06,414.65,-95.89
150,12,26,9,3.0,3.0,0.72,2328,45.49,-94.94,-0.33,95.46,506.32,-94.98
150,12,26,9,3.0,4.0,0.79,2080,39.09,-90.08,-0.23,91.48,991.59,-90.15
