ema_filter_periodo,bb_length,bb_std,sl_multiplier,tp_multiplier,profit_factor,num_trades,win_rate_pct,total_return_pct,sharpe_ratio,max_drawdown_pct,final_value,annual_return_pct
21,20,2.0,3.0,3.0,0.76,2840,46.23,-97.01,-0.33,97.15,299.07,-97.04
21,20,2.0,3.0,4.0,0.78,2557,40.16,-94.08,-0.25,94.33,592.05,-94.13
21,20,2.0,4.0,3.0,0.74,2597,48.79,-97.2,-0.33,97.34,280.08,-97.23
21,20,2.0,4.0,4.0,0.77,2367,42.63,-94.84,-0.25,95.06,515.52,-94.89
50,20,2.0,3.0,3.0,0.78,2763,46.76,-96.56,-0.32,96.86,344.09,-96.59
50,20,2.0,3.0,4.0,0.81,2481,40.23,-93.41,-0.24,93.69,659.36,-93.46
50,20,2.0,4.0,3.0,0.76,2520,49.29,-96.8,-0.31,97.09,319.67,-96.83
50,20,2.0,4.0,4.0,0.81,2283,43.1,-93.31,-0.23,93.67,668.76,-93.36
100,20,2.0,3.0,3.0,0.81,2473,49.13,-92.58,-0.25,93.36,741.54,-92.64
100,20,2.0,3.0,4.0,0.84,2181,42.23,-86.81,-0.18,87.58,1318.92,-86.88
100,20,2.0,4.0,3.0,0.8,2225,52.4,-92.73,-0.24,93.42,726.86,-92.78
100,20,2.0,4.0,4.0,0.83,1984,45.67,-85.84,-0.16,87.03,1416.05,-85.92
200,20,2.0,3.0,3.0,0.81,2266,49.65,-91.65,-0.24,93.19,834.76,-91.71
200,20,2.0,3.0,4.0,0.85,1975,43.75,-80.26,-0.14,82.65,1974.42,-80.34
200,20,2.0,4.0,3.0,0.81,1987,53.95,-91.73,-0.22,93.04,827.04,-91.79
200,20,2.0,4.0,4.0,0.85,1750,47.66,-79.24,-0.13,81.74,2076.17,-79.33
