ema_filter_periodo,bb_length,bb_std,adx_period,adx_threshold,sl_multiplier,tp_multiplier,profit_factor,num_trades,win_rate_pct,total_return_pct,sharpe_ratio,max_drawdown_pct,final_value,annual_return_pct
21,20,2.0,14,15,3.0,3.0,0.76,2825,46.23,-97.11,-0.34,97.25,288.62,-97.14
21,20,2.0,14,15,3.0,4.0,0.78,2545,40.28,-93.86,-0.25,94.12,614.16,-93.91
21,20,2.0,14,15,4.0,3.0,0.74,2584,48.8,-97.29,-0.33,97.43,271.03,-97.32
21,20,2.0,14,15,4.0,4.0,0.76,2360,42.71,-94.92,-0.25,95.14,507.68,-94.96
50,20,2.0,14,15,3.0,3.0,0.77,2749,46.74,-96.71,-0.32,97.0,328.67,-96.74
50,20,2.0,14,15,3.0,4.0,0.8,2471,40.31,-93.28,-0.24,93.57,671.68,-93.33
50,20,2.0,14,15,4.0,3.0,0.76,2508,49.28,-96.98,-0.32,97.25,302.36,-97.01
50,20,2.0,14,15,4.0,4.0,0.8,2278,43.15,-93.59,-0.23,93.93,641.22,-93.64
100,20,2.0,14,15,3.0,3.0,0.81,2465,49.09,-92.88,-0.25,93.63,711.96,-92.93
100,20,2.0,14,15,3.0,4.0,0.84,2175,42.3,-86.65,-0.18,87.43,1335.11,-86.72
100,20,2.0,14,15,4.0,3.0,0.8,2218,52.48,-92.73,-0.24,93.41,727.43,-92.78
100,20,2.0,14,15,4.0,4.0,0.83,1979,45.68,-86.01,-0.16,87.19,1399.08,-86.08
150,20,2.0,14,15,3.0,3.0,0.82,2335,49.68,-90.59,-0.23,91.62,940.9,-90.65
150,20,2.0,14,15,3.0,4.0,0.83,2053,43.21,-83.07,-0.16,83.91,1692.75,-83.15
150,20,2.0,14,15,4.0,3.0,0.83,2072,53.67,-89.88,-0.21,91.0,1012.16,-89.94
150,20,2.0,14,15,4.0,4.0,0.84,1840,46.9,-80.31,-0.13,81.75,1968.65,-80.4
200,20,2.0,14,15,3.0,3.0,0.8,2261,49.58,-92.04,-0.24,93.5,795.72,-92.1
200,20,2.0,14,15,3.0,4.0,0.85,1972,43.81,-80.01,-0.14,82.41,1999.32,-80.1
200,20,2.0,14,15,4.0,3.0,0.8,1983,53.91,-92.16,-0.23,93.4,783.82,-92.22
200,20,2.0,14,15,4.0,4.0,0.85,1748,47.71,-79.22,-0.13,81.7,2077.63,-79.31
