donchian_period,ema_filter_period,sl_multiplier,tp_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
10,50,2.0,3.0,10000,11085.13,1085.13,10.85,10.88,0.12,0.01,2.5,4.36,45,55.56,1.59,24.11,342.06,-178.77,0.00075,0.0005,36.53,-25.68
10,50,2.0,4.0,10000,10531.19,531.19,5.31,5.33,0.06,0.01,1.26,4.24,42,45.24,1.24,12.65,268.81,-246.66,0.00075,0.0005,36.53,-31.22
10,50,2.0,5.0,10000,10055.04,55.04,0.55,0.55,0.01,0.0,0.08,7.08,41,36.59,1.02,1.34,319.74,-240.1,0.00075,0.0005,36.53,-35.98
10,50,2.0,6.0,10000,9275.22,-724.78,-7.25,-7.27,-0.07,-0.01,-0.56,12.88,40,27.5,0.73,-18.12,360.84,-244.06,0.00075,0.0005,36.53,-43.78
10,50,3.0,3.0,10000,11469.0,1469.0,14.69,14.73,0.14,0.01,3.36,4.39,45,64.44,1.72,32.64,340.36,-268.02,0.00075,0.0005,36.53,-21.84
10,50,3.0,4.0,10000,10659.49,659.49,6.59,6.61,0.06,0.0,1.28,5.17,42,52.38,1.24,15.7,300.06,-361.37,0.00075,0.0005,36.53,-29.94
10,50,3.0,5.0,10000,10487.62,487.62,4.88,4.89,0.04,0.0,0.95,5.14,41,46.34,1.16,11.89,361.34,-362.09,0.00075,0.0005,36.53,-31.65
10,50,3.0,6.0,10000,9762.15,-237.85,-2.38,-2.38,-0.01,-0.0,-0.3,7.94,40,37.5,0.93,-5.95,419.92,-371.0,0.00075,0.0005,36.53,-38.91
10,50,4.0,3.0,10000,12209.49,2209.49,22.09,22.16,0.19,0.02,4.72,4.7,45,73.33,2.16,49.1,342.17,-256.54,0.00075,0.0005,36.53,-14.44
10,50,4.0,4.0,10000,11482.65,1482.65,14.83,14.87,0.11,0.01,2.27,6.54,42,61.9,1.54,35.3,305.48,-479.62,0.00075,0.0005,36.53,-21.7
10,50,4.0,5.0,10000,11381.81,1381.81,13.82,13.86,0.09,0.01,1.75,7.93,41,56.1,1.43,33.7,369.04,-481.95,0.00075,0.0005,36.53,-22.71
10,50,4.0,6.0,10000,10691.04,691.04,6.91,6.93,0.05,0.0,0.56,12.47,40,47.5,1.19,17.28,432.77,-496.0,0.00075,0.0005,36.53,-29.62
10,100,2.0,3.0,10000,10442.49,442.49,4.42,4.44,0.06,0.01,1.02,4.36,39,51.28,1.27,11.35,192.87,-167.63,0.00075,0.0005,36.53,-32.11
10,100,2.0,4.0,10000,10245.38,245.38,2.45,2.46,0.03,0.0,0.55,4.51,38,39.47,1.12,6.46,262.29,-166.63,0.00075,0.0005,36.53,-34.08
10,100,2.0,5.0,10000,9898.48,-101.52,-1.02,-1.02,-0.01,-0.0,-0.13,7.77,38,31.58,0.96,-2.67,316.32,-157.75,0.00075,0.0005,36.53,-37.55
10,100,2.0,6.0,10000,9050.0,-950.0,-9.5,-9.52,-0.1,-0.01,-0.78,12.28,37,21.62,0.61,-25.68,354.54,-149.96,0.00075,0.0005,36.53,-46.03
10,100,3.0,3.0,10000,10848.86,848.86,8.49,8.51,0.1,0.01,2.56,3.33,39,61.54,1.47,21.77,223.16,-251.3,0.00075,0.0005,36.53,-28.04
10,100,3.0,4.0,10000,10843.18,843.18,8.43,8.46,0.08,0.01,1.86,4.55,38,52.63,1.38,22.19,300.94,-252.36,0.00075,0.0005,36.53,-28.1
10,100,3.0,5.0,10000,10863.83,863.83,8.64,8.66,0.07,0.01,1.88,4.61,38,47.37,1.34,22.73,368.97,-247.22,0.00075,0.0005,36.53,-27.89
10,100,3.0,6.0,10000,10070.03,70.03,0.7,0.7,0.01,0.0,0.16,4.49,37,37.84,1.02,1.89,426.94,-238.76,0.00075,0.0005,36.53,-35.83
10,100,4.0,3.0,10000,11597.33,1597.33,15.97,16.02,0.16,0.02,3.67,4.37,39,71.79,1.98,40.96,228.32,-250.31,0.00075,0.0005,36.53,-20.56
10,100,4.0,4.0,10000,11872.22,1872.22,18.72,18.78,0.15,0.02,3.52,5.34,38,63.16,1.91,49.27,310.11,-244.22,0.00075,0.0005,36.53,-17.81
10,100,4.0,5.0,10000,12003.29,2003.29,20.03,20.09,0.14,0.02,3.65,5.51,38,57.89,1.79,52.72,382.06,-249.64,0.00075,0.0005,36.53,-16.5
10,100,4.0,6.0,10000,11227.64,1227.64,12.28,12.31,0.08,0.01,1.64,7.53,37,48.65,1.41,33.18,446.11,-255.16,0.00075,0.0005,36.53,-24.25
10,150,2.0,3.0,10000,10150.98,150.98,1.51,1.51,0.02,0.0,0.26,5.77,36,47.22,1.09,4.19,187.48,-164.79,0.00075,0.0005,36.53,-35.02
10,150,2.0,4.0,10000,9776.76,-223.24,-2.23,-2.24,-0.02,-0.0,-0.35,6.36,36,33.33,0.89,-6.2,250.29,-161.48,0.00075,0.0005,36.53,-38.76
10,150,2.0,5.0,10000,9632.44,-367.56,-3.68,-3.69,-0.04,-0.0,-0.36,10.14,36,27.78,0.83,-10.21,307.82,-156.53,0.00075,0.0005,36.53,-40.21
10,150,2.0,6.0,10000,9442.62,-557.38,-5.57,-5.59,-0.06,-0.01,-0.46,12.09,35,22.86,0.75,-15.93,369.92,-154.96,0.00075,0.0005,36.53,-42.1
10,150,3.0,3.0,10000,10559.73,559.73,5.6,5.61,0.07,0.01,1.61,3.49,36,58.33,1.31,15.55,219.67,-247.37,0.00075,0.0005,36.53,-30.93
10,150,3.0,4.0,10000,10330.53,330.53,3.31,3.31,0.04,0.0,0.69,4.8,36,47.22,1.15,9.18,291.15,-244.16,0.00075,0.0005,36.53,-33.22
10,150,3.0,5.0,10000,10602.46,602.46,6.02,6.04,0.05,0.01,1.36,4.44,36,44.44,1.24,16.73,367.18,-246.02,0.00075,0.0005,36.53,-30.51
10,150,3.0,6.0,10000,10641.16,641.16,6.41,6.43,0.05,0.01,1.45,4.43,35,40.0,1.25,18.32,444.92,-248.82,0.00075,0.0005,36.53,-30.12
10,150,4.0,3.0,10000,10946.76,946.76,9.47,9.49,0.1,0.01,1.88,5.04,36,66.67,1.54,26.3,217.95,-249.1,0.00075,0.0005,36.53,-27.06
10,150,4.0,4.0,10000,10887.69,887.69,8.88,8.9,0.08,0.01,1.19,7.45,36,55.56,1.39,24.66,288.8,-240.57,0.00075,0.0005,36.53,-27.65
10,150,4.0,5.0,10000,11276.76,1276.76,12.77,12.8,0.1,0.01,2.04,6.27,36,52.78,1.5,35.47,366.0,-244.25,0.00075,0.0005,36.53,-23.76
