id,ema_fast_m15,ema_slow_m15,ema_trend_h1,atr_period,atr_lookback,atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
345,15,21,150,14,3,3.0,10000,15512.97,5512.97,55.13,144.82,0.21,0.08,12.22,11.85,153,36.6,1.46,36.03,1386.77,-336.53,0.00075,0.0005,38.24,16.89
381,15,26,100,14,3,3.0,10000,15009.77,5009.77,50.1,128.9,0.19,0.07,6.73,19.15,138,34.78,1.44,36.3,1266.99,-385.17,0.00075,0.0005,38.24,11.86
363,15,21,200,14,3,3.0,10000,14806.64,4806.64,48.07,122.63,0.19,0.08,9.12,13.45,143,35.66,1.44,33.61,1296.17,-315.41,0.00075,0.0005,38.24,9.83
237,12,26,150,14,3,3.0,10000,15098.09,5098.09,50.98,131.65,0.2,0.08,8.64,15.23,156,33.33,1.43,32.68,1256.84,-332.73,0.00075,0.0005,38.24,12.74
255,12,26,200,14,3,3.0,10000,14460.12,4460.12,44.6,112.13,0.18,0.07,6.44,17.42,146,32.19,1.42,30.55,1176.22,-312.24,0.00075,0.0005,38.24,6.36
399,15,26,150,14,3,3.0,10000,14702.09,4702.09,47.02,119.43,0.19,0.07,5.68,21.01,136,34.56,1.42,34.57,1282.75,-392.11,0.00075,0.0005,38.24,8.78
291,12,30,150,14,3,3.0,10000,14633.21,4633.21,46.33,117.34,0.18,0.07,7.24,16.2,142,32.39,1.4,32.63,1265.52,-343.81,0.00075,0.0005,38.24,8.09
417,15,26,200,14,3,3.0,10000,14025.99,4025.99,40.26,99.35,0.17,0.06,4.43,22.41,131,33.59,1.39,30.73,1201.48,-394.35,0.00075,0.0005,38.24,2.02
390,15,26,100,20,3,3.0,10000,14045.45,4045.45,40.45,99.91,0.17,0.06,5.68,17.59,134,34.33,1.38,30.19,1170.17,-317.99,0.00075,0.0005,38.24,2.21
219,12,26,100,14,3,3.0,10000,14339.97,4339.97,43.4,108.55,0.18,0.07,6.95,15.61,153,32.68,1.37,28.37,1264.64,-332.73,0.00075,0.0005,38.24,5.16
327,15,21,100,14,3,3.0,10000,14432.33,4432.33,44.32,111.3,0.18,0.07,9.26,12.02,150,36.0,1.37,29.55,1376.62,-332.01,0.00075,0.0005,38.24,6.08
389,15,26,100,20,3,2.5,10000,13770.05,3770.05,37.7,92.0,0.16,0.07,5.56,16.55,134,33.58,1.37,28.13,1193.24,-259.61,0.00075,0.0005,38.24,-0.54
408,15,26,150,20,3,3.0,10000,13790.35,3790.35,37.9,92.58,0.16,0.06,4.73,19.56,132,34.09,1.36,28.71,1183.27,-324.76,0.00075,0.0005,38.24,-0.34
