id,regime_type,regime_period,regime_direction,adx_period,adx_threshold,supertrend_length,supertrend_multiplier,rsi_period,rsi_oversold,rsi_overbought,use_volume_filter,volume_ma_period,use_atr_filter,atr_min_threshold,atr_period,entry_indicators,sl_atr_multiplier,tp_atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
1,none,100,long_only,14,25,7,1.5,14,25,65,False,20,False,0.5,14,"['supertrend', 'rsi']",2.0,4.0,10000,8897.71,-1102.29,-11.02,-11.05,-0.15,-0.0,-1.0,11.02,4,0.0,0.0,-275.57,-131.14,-496.69,0.00075,0.0005,23.45,-34.47
2,none,100,long_only,14,25,7,1.5,14,25,65,False,20,False,0.5,14,"['supertrend', 'rsi']",2.5,5.0,10000,8646.9,-1353.1,-13.53,-13.57,-0.15,-0.0,-1.0,13.53,4,0.0,0.0,-338.28,-159.08,-608.81,0.00075,0.0005,23.45,-36.98
3,none,100,long_only,14,25,7,1.5,14,25,65,False,20,False,0.5,14,"['supertrend', 'rsi']",2.0,6.0,10000,8897.71,-1102.29,-11.02,-11.05,-0.15,-0.0,-1.0,11.02,4,0.0,0.0,-275.57,-131.14,-496.69,0.00075,0.0005,23.45,-34.47
4,none,100,long_only,14,25,7,1.5,14,25,70,False,20,False,0.5,14,"['supertrend', 'rsi']",2.0,4.0,10000,8897.71,-1102.29,-11.02,-11.05,-0.15,-0.0,-1.0,11.02,4,0.0,0.0,-275.57,-131.14,-496.69,0.00075,0.0005,23.45,-34.47
5,none,100,long_only,14,25,7,1.5,14,25,70,False,20,False,0.5,14,"['supertrend', 'rsi']",2.5,5.0,10000,8646.9,-1353.1,-13.53,-13.57,-0.15,-0.0,-1.0,13.53,4,0.0,0.0,-338.28,-159.08,-608.81,0.00075,0.0005,23.45,-36.98
6,none,100,long_only,14,25,7,1.5,14,25,70,False,20,False,0.5,14,"['supertrend', 'rsi']",2.0,6.0,10000,8897.71,-1102.29,-11.02,-11.05,-0.15,-0.0,-1.0,11.02,4,0.0,0.0,-275.57,-131.14,-496.69,0.00075,0.0005,23.45,-34.47
7,none,100,long_only,14,25,7,1.5,14,25,75,False,20,False,0.5,14,"['supertrend', 'rsi']",2.0,4.0,10000,8897.71,-1102.29,-11.02,-11.05,-0.15,-0.0,-1.0,11.02,4,0.0,0.0,-275.57,-131.14,-496.69,0.00075,0.0005,23.45,-34.47
8,none,100,long_only,14,25,7,1.5,14,25,75,False,20,False,0.5,14,"['supertrend', 'rsi']",2.5,5.0,10000,8646.9,-1353.1,-13.53,-13.57,-0.15,-0.0,-1.0,13.53,4,0.0,0.0,-338.28,-159.08,-608.81,0.00075,0.0005,23.45,-36.98
9,none,100,long_only,14,25,7,1.5,14,25,75,False,20,False,0.5,14,"['supertrend', 'rsi']",2.0,6.0,10000,8897.71,-1102.29,-11.02,-11.05,-0.15,-0.0,-1.0,11.02,4,0.0,0.0,-275.57,-131.14,-496.69,0.00075,0.0005,23.45,-34.47
10,none,100,long_only,14,25,7,1.5,14,30,65,False,20,False,0.5,14,"['supertrend', 'rsi']",2.0,4.0,10000,8265.33,-1734.67,-17.35,-17.39,-0.27,-0.02,-1.0,17.35,11,0.0,0.0,-157.7,-92.12,-222.01,0.00075,0.0005,23.45,-40.8
11,none,100,long_only,14,25,7,1.5,14,30,65,False,20,False,0.5,14,"['supertrend', 'rsi']",2.5,5.0,10000,8202.94,-1797.06,-17.97,-18.02,-0.25,-0.01,-1.0,17.97,9,0.0,0.0,-199.67,-113.65,-274.54,0.00075,0.0005,23.45,-41.42
