id,ema_fast_m15,ema_slow_m15,ema_trend_h1,atr_period,atr_lookback,atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct

1,9,21,100,14,3,2.0,10000,7406.62,-2593.38,-25.93,-45.78,-0.15,-0.06,-1.51,30.25,199,24.12,0.74,-13.03,1018.99,-169.97,0.00075,0.0005,38.24,-64.17

2,9,21,100,14,3,2.5,10000,7428.12,-2571.88,-25.72,-45.46,-0.14,-0.05,-1.51,30.05,199,25.63,0.75,-12.92,1016.03,-199.48,0.00075,0.0005,38.24,-63.96

3,9,21,100,14,3,3.0,10000,7400.65,-2599.35,-25.99,-45.87,-0.14,-0.05,-1.51,30.3,199,26.13,0.75,-13.06,999.82,-236.88,0.00075,0.0005,38.24,-64.23

4,9,21,100,14,5,2.0,10000,7989.4,-2010.6,-20.11,-36.73,-0.11,-0.04,-1.42,25.88,186,25.81,0.8,-10.81,1067.48,-183.35,0.00075,0.0005,38.24,-58.35

5,9,21,100,14,5,2.5,10000,7978.32,-2021.68,-20.22,-36.91,-0.1,-0.04,-1.38,26.65,186,27.42,0.8,-10.87,1053.25,-201.57,0.00075,0.0005,38.24,-58.46

6,9,21,100,14,5,3.0,10000,8085.72,-1914.28,-19.14,-35.16,-0.1,-0.03,-1.41,25.01,186,28.49,0.81,-10.29,1045.95,-239.29,0.00075,0.0005,38.24,-57.38

7,9,21,100,14,7,2.0,10000,7393.4,-2606.6,-26.07,-45.98,-0.16,-0.06,-1.51,30.37,178,24.72,0.71,-14.64,977.49,-172.9,0.00075,0.0005,38.24,-64.31

8,9,21,100,14,7,2.5,10000,7922.77,-2077.23,-20.77,-37.8,-0.11,-0.04,-1.49,25.4,178,26.97,0.78,-11.67,1032.25,-200.14,0.00075,0.0005,38.24,-59.01

9,9,21,100,14,7,3.0,10000,7863.08,-2136.92,-21.37,-38.75,-0.11,-0.04,-1.49,25.95,178,27.53,0.78,-12.01,1018.44,-237.67,0.00075,0.0005,38.24,-59.61

10,9,21,100,20,3,2.0,10000,6847.29,-3152.71,-31.53,-53.8,-0.19,-0.08,-1.51,35.52,195,22.05,0.67,-16.17,945.17,-153.75,0.00075,0.0005,38.24,-69.77

11,9,21,100,20,3,2.5,10000,6874.35,-3125.65,-31.26,-53.43,-0.19,-0.07,-1.52,35.26,195,24.1,0.68,-16.03,950.84,-186.44,0.00075,0.0005,38.24,-69.5

12,9,21,100,20,3,3.0,10000,6775.8,-3224.2,-32.24,-54.78,-0.19,-0.06,-1.51,36.19,195,24.62,0.67,-16.53,927.77,-221.24,0.00075,0.0005,38.24,-70.48

13,9,21,100,20,5,2.0,10000,8013.01,-1986.99,-19.87,-36.35,-0.11,-0.05,-1.48,24.54,173,26.59,0.78,-11.49,1043.56,-159.09,0.00075,0.0005,38.24,-58.11

