sl_multiplier,tp_multiplier,ratio_rr,profit_factor,win_rate_pct,num_trades,total_return_pct,sharpe_ratio,max_drawdown_pct,avg_win,avg_loss
3.0,2.0,0.6666666666666666,0.72,57.92,183,-26.92,-0.15,32.04,0,0
3.0,1.5,0.5,0.7,64.71,187,-25.99,-0.16,30.95,0,0
3.0,3.0,1.0,0.69,46.89,177,-36.55,-0.18,42.54,0,0
3.0,2.5,0.8333333333333334,0.69,51.67,180,-33.83,-0.17,36.93,0,0
2.5,2.0,0.8,0.66,51.35,185,-31.18,-0.19,33.68,0,0
2.5,2.5,1.0,0.66,45.9,183,-34.96,-0.2,37.79,0,0
2.0,2.5,1.25,0.65,40.86,186,-33.61,-0.21,37.77,0,0
2.0,2.0,1.0,0.64,45.74,188,-31.56,-0.22,34.84,0,0
3.0,1.0,0.3333333333333333,0.63,72.4,192,-24.86,-0.19,28.09,0,0
2.0,3.0,1.5,0.63,35.52,183,-37.1,-0.22,41.3,0,0
2.5,3.0,1.2,0.63,40.56,180,-39.46,-0.22,43.79,0,0
2.0,1.5,0.75,0.61,52.85,193,-30.94,-0.24,33.89,0,0
2.5,1.5,0.6,0.58,56.84,190,-35.13,-0.25,36.53,0,0
1.5,1.5,1.0,0.57,46.53,202,-32.2,-0.29,35.99,0,0
1.5,2.5,1.6666666666666667,0.56,32.99,197,-38.39,-0.29,42.23,0,0
1.5,2.0,1.3333333333333333,0.55,38.58,197,-36.15,-0.3,39.34,0,0
1.5,3.0,2.0,0.55,28.5,193,-40.09,-0.29,44.05,0,0
1.5,1.0,0.6666666666666666,0.54,56.31,206,-28.86,-0.3,29.69,0,0
2.0,1.0,0.5,0.53,60.61,198,-31.36,-0.3,32.13,0,0
2.5,1.0,0.4,0.49,64.1,195,-35.69,-0.31,36.68,0,0
