sl_multiplier,tp_multiplier,ratio_rr,profit_factor,win_rate_pct,num_trades,total_return_pct,sharpe_ratio,max_drawdown_pct,avg_win,avg_loss
3.0,2.0,0.6666666666666666,0.72,57.92,183,-26.92,-0.15,32.04,0,0
3.0,1.5,0.5,0.7,64.71,187,-25.99,-0.16,30.95,0,0
3.0,3.0,1.0,0.69,46.89,177,-36.55,-0.18,42.54,0,0
3.0,2.5,0.8333333333333334,0.69,51.67,180,-33.83,-0.17,36.93,0,0
2.5,2.0,0.8,0.66,51.35,185,-31.18,-0.19,33.68,0,0
2.5,2.5,1.0,0.66,45.9,183,-34.96,-0.2,37.79,0,0
2.0,2.5,1.25,0.65,40.86,186,-33.61,-0.21,37.77,0,0
2.0,2.0,1.0,0.64,45.74,188,-31.56,-0.22,34.84,0,0
3.0,1.0,0.3333333333333333,0.63,72.4,192,-24.86,-0.19,28.09,0,0
2.0,3.0,1.5,0.63,35.52,183,-37.1,-0.22,41.3,0,0
