id,ema_pullback,ema_trend_h1,rsi_period,atr_period,rsi_long_min,rsi_long_max,rsi_short_min,rsi_short_max,atr_multiplier,time_exit_hour,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
1,21,100,14,14,40,60,35,50,1.5,23,10000,7702.65,-2297.35,-22.97,-41.27,-0.1,-0.06,-1.28,32.16,530,34.91,0.89,-4.33,670.41,-223.21,0.00075,0.0005,38.24,-61.21
2,21,100,14,14,40,60,35,50,2.0,23,10000,7511.26,-2488.74,-24.89,-44.21,-0.1,-0.05,-1.33,33.23,434,35.48,0.88,-5.73,658.52,-259.96,0.00075,0.0005,38.24,-63.13
3,21,100,14,14,40,60,35,50,2.5,23,10000,7759.82,-2240.18,-22.4,-40.38,-0.08,-0.03,-1.29,31.34,384,36.46,0.9,-5.83,766.59,-339.64,0.00075,0.0005,38.24,-60.64
4,21,100,14,14,40,60,35,55,1.5,23,10000,7789.59,-2210.41,-22.1,-39.91,-0.09,-0.06,-1.19,33.4,557,35.37,0.9,-3.97,662.85,-225.71,0.00075,0.0005,38.24,-60.34
5,21,100,14,14,40,60,35,55,2.0,23,10000,7542.9,-2457.1,-24.57,-43.73,-0.1,-0.05,-1.27,34.37,458,35.81,0.89,-5.36,648.75,-259.96,0.00075,0.0005,38.24,-62.81
6,21,100,14,14,40,60,35,55,2.5,23,10000,7529.86,-2470.14,-24.7,-43.93,-0.09,-0.04,-1.29,34.04,400,37.0,0.89,-6.18,720.77,-326.36,0.00075,0.0005,38.24,-62.94
7,21,100,14,14,40,60,40,50,1.5,23,10000,8912.35,-1087.65,-10.88,-20.93,-0.04,-0.02,-0.94,22.24,484,36.16,0.95,-2.25,799.61,-211.25,0.00075,0.0005,38.24,-49.12
8,21,100,14,14,40,60,40,50,2.0,23,10000,8573.53,-1426.47,-14.26,-26.94,-0.05,-0.02,-1.14,23.59,400,36.0,0.93,-3.57,818.93,-266.16,0.00075,0.0005,38.24,-52.5
9,21,100,14,14,40,60,40,50,2.5,23,10000,9338.81,-661.19,-6.61,-13.02,-0.01,-0.0,-0.47,27.41,354,37.29,0.97,-1.87,889.82,-378.27,0.00075,0.0005,38.24,-44.85
10,21,100,14,14,40,60,40,55,1.5,23,10000,8600.34,-1399.66,-14.0,-26.47,-0.05,-0.03,-0.92,28.84,521,36.08,0.94,-2.69,758.13,-209.48,0.00075,0.0005,38.24,-52.24
11,21,100,14,14,40,60,40,55,2.0,23,10000,7720.15,-2279.85,-22.8,-41.0,-0.09,-0.04,-1.27,32.24,435,35.86,0.89,-5.24,744.78,-259.96,0.00075,0.0005,38.24,-61.04
12,21,100,14,14,40,60,40,55,2.5,23,10000,7933.79,-2066.21,-20.66,-37.62,-0.07,-0.03,-1.22,30.76,379,36.94,0.9,-5.45,765.01,-340.95,0.00075,0.0005,38.24,-58.9
13,21,100,14,14,40,65,35,50,1.5,23,10000,7498.28,-2501.72,-25.02,-44.41,-0.1,-0.06,-1.32,33.72,559,33.81,0.89,-4.48,658.95,-220.79,0.00075,0.0005,38.24,-63.26
14,21,100,14,14,40,65,35,50,2.0,23,10000,7187.48,-2812.52,-28.13,-49.0,-0.11,-0.05,-1.36,36.11,460,34.57,0.87,-6.11,634.01,-259.96,0.00075,0.0005,38.24,-66.37
15,21,100,14,14,40,65,35,50,2.5,23,10000,7407.99,-2592.01,-25.92,-45.76,-0.09,-0.04,-1.36,33.77,402,35.57,0.88,-6.45,711.94,-331.13,0.00075,0.0005,38.24,-64.16
16,21,100,14,14,40,65,35,55,1.5,23,10000,7329.08,-2670.92,-26.71,-46.93,-0.11,-0.07,-1.27,37.02,584,34.08,0.89,-4.57,628.93,-223.27,0.00075,0.0005,38.24,-64.95
17,21,100,14,14,40,65,35,55,2.0,23,10000,6985.51,-3014.49,-30.14,-51.88,-0.12,-0.06,-1.33,39.05,480,34.58,0.87,-6.28,603.76,-259.96,0.00075,0.0005,38.24,-68.38
18,21,100,14,14,40,65,35,55,2.5,23,10000,6651.81,-3348.19,-33.48,-56.45,-0.13,-0.05,-1.36,41.49,416,35.34,0.85,-8.05,640.43,-321.73,0.00075,0.0005,38.24,-71.72
19,21,100,14,14,40,65,40,50,1.5,23,10000,8675.89,-1324.11,-13.24,-25.15,-0.04,-0.03,-0.93,27.03,513,34.89,0.94,-2.58,785.95,-223.92,0.00075,0.0005,38.24,-51.48
20,21,100,14,14,40,65,40,50,2.0,23,10000,8221.88,-1778.12,-17.78,-32.92,-0.06,-0.03,-1.24,26.49,426,34.98,0.92,-4.17,790.18,-270.61,0.00075,0.0005,38.24,-56.02
21,21,100,14,14,40,65,40,50,2.5,23,10000,8814.12,-1185.88,-11.86,-22.69,-0.03,-0.01,-0.77,29.49,371,36.12,0.95,-3.2,817.01,-364.6,0.00075,0.0005,38.24,-50.1
22,21,100,14,14,40,65,40,55,1.5,23,10000,8091.9,-1908.1,-19.08,-35.06,-0.07,-0.05,-1.04,33.62,548,34.67,0.92,-3.48,719.33,-215.03,0.00075,0.0005,38.24,-57.32
23,21,100,14,14,40,65,40,55,2.0,23,10000,7165.28,-2834.72,-28.35,-49.32,-0.11,-0.06,-1.34,36.91,457,34.57,0.87,-6.2,694.64,-259.96,0.00075,0.0005,38.24,-66.59
24,21,100,14,14,40,65,40,55,2.5,23,10000,7008.64,-2991.36,-29.91,-51.56,-0.12,-0.05,-1.36,37.95,395,35.19,0.86,-7.57,679.74,-321.73,0.00075,0.0005,38.24,-68.15
