id,ema_pullback,ema_trend_h1,adx_period,adx_threshold,rsi_period,atr_period,rsi_long_min,rsi_long_max,rsi_short_min,rsi_short_max,atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
1,21,100,14,15,14,14,40,60,35,50,1.5,10000,7308.26,-2691.74,-26.92,-47.24,-0.13,-0.07,-1.34,35.26,388,34.02,0.85,-6.94,632.09,-220.85,0.00075,0.0005,38.24,-65.16
2,21,100,14,15,14,14,40,60,35,50,2.0,10000,6463.79,-3536.21,-35.36,-58.93,-0.17,-0.07,-1.48,39.79,294,34.01,0.79,-12.03,604.71,-249.32,0.00075,0.0005,38.24,-73.6
3,21,100,14,15,14,14,40,60,35,50,2.5,10000,7133.05,-2866.95,-28.67,-49.79,-0.11,-0.04,-1.3,38.38,243,34.57,0.83,-11.8,702.01,-343.53,0.00075,0.0005,38.24,-66.91
4,21,100,14,15,14,14,40,60,35,55,1.5,10000,7455.09,-2544.91,-25.45,-45.06,-0.11,-0.06,-1.22,36.83,405,34.32,0.86,-6.28,630.14,-223.77,0.00075,0.0005,38.24,-63.69
5,21,100,14,15,14,14,40,60,35,55,2.0,10000,6682.76,-3317.24,-33.17,-56.04,-0.15,-0.07,-1.39,40.27,306,34.31,0.81,-10.84,612.12,-256.2,0.00075,0.0005,38.24,-71.41
6,21,100,14,15,14,14,40,60,35,55,2.5,10000,7262.12,-2737.88,-27.38,-47.92,-0.1,-0.04,-1.19,40.41,249,34.94,0.84,-11.0,675.88,-349.75,0.00075,0.0005,38.24,-65.62
7,21,100,14,15,14,14,40,60,40,50,1.5,10000,8790.23,-1209.77,-12.1,-23.12,-0.05,-0.02,-0.84,27.37,354,35.03,0.93,-3.42,769.74,-250.37,0.00075,0.0005,38.24,-50.34
8,21,100,14,15,14,14,40,60,40,50,2.0,10000,7727.56,-2272.44,-22.72,-40.88,-0.09,-0.04,-1.4,29.11,276,34.78,0.86,-8.23,757.42,-292.81,0.00075,0.0005,38.24,-60.96
9,21,100,14,15,14,14,40,60,40,50,2.5,10000,8420.05,-1579.95,-15.8,-29.58,-0.05,-0.02,-0.98,30.09,230,35.65,0.91,-6.87,792.28,-399.74,0.00075,0.0005,38.24,-54.04
10,21,100,14,15,14,14,40,60,40,55,1.5,10000,8468.46,-1531.54,-15.32,-28.75,-0.06,-0.03,-0.87,32.88,378,34.66,0.91,-4.05,726.66,-241.02,0.00075,0.0005,38.24,-53.56
11,21,100,14,15,14,14,40,60,40,55,2.0,10000,7034.17,-2965.83,-29.66,-51.2,-0.13,-0.06,-1.41,36.32,297,34.01,0.83,-9.99,692.77,-266.54,0.00075,0.0005,38.24,-67.9
12,21,100,14,15,14,14,40,60,40,55,2.5,10000,7586.9,-2413.1,-24.13,-43.06,-0.09,-0.03,-1.14,37.61,241,34.85,0.86,-10.01,707.45,-360.19,0.00075,0.0005,38.24,-62.37
13,21,100,14,15,14,14,40,65,35,50,1.5,10000,7327.87,-2672.13,-26.72,-46.95,-0.12,-0.07,-1.32,35.68,408,33.09,0.86,-6.55,634.36,-221.56,0.00075,0.0005,38.24,-64.96
14,21,100,14,15,14,14,40,65,35,50,2.0,10000,6245.14,-3754.86,-37.55,-61.71,-0.18,-0.08,-1.49,41.37,310,33.23,0.79,-12.11,584.71,-246.32,0.00075,0.0005,38.24,-75.79
15,21,100,14,15,14,14,40,65,35,50,2.5,10000,6913.98,-3086.02,-30.86,-52.88,-0.12,-0.05,-1.32,40.19,254,34.25,0.83,-12.15,657.74,-332.98,0.00075,0.0005,38.24,-69.1
16,21,100,14,15,14,14,40,65,35,55,1.5,10000,7272.21,-2727.79,-27.28,-47.77,-0.12,-0.07,-1.25,38.07,422,33.18,0.86,-6.46,614.47,-224.48,0.00075,0.0005,38.24,-65.52
