id,rr_ratio,regime_type,regime_period,regime_direction,adx_period,adx_threshold,supertrend_length,supertrend_multiplier,rsi_period,rsi_oversold,rsi_overbought,ema_fast,ema_slow,macd_fast,macd_slow,macd_signal,use_volume_filter,volume_ma_period,use_atr_filter,atr_min_threshold,atr_period,entry_indicators,sl_atr_multiplier,tp_atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
1,1.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi']",1.0,1.0,10000,10350.96,350.96,3.51,3.52,0.02,0.01,0.26,13.79,19,5.26,1.24,18.47,1832.79,-123.41,0.00075,0.0005,21.52,-18.01
2,1.5,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi']",1.0,1.5,10000,10350.96,350.96,3.51,3.52,0.02,0.01,0.26,13.79,19,5.26,1.24,18.47,1832.79,-123.41,0.00075,0.0005,21.52,-18.01
3,2.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi']",1.0,2.0,10000,10350.96,350.96,3.51,3.52,0.02,0.01,0.26,13.79,19,5.26,1.24,18.47,1832.79,-123.41,0.00075,0.0005,21.52,-18.01
4,2.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi']",1.5,3.0,10000,9667.65,-332.35,-3.32,-3.33,-0.0,-0.0,-0.17,19.13,19,5.26,0.84,-17.49,1719.27,-171.56,0.00075,0.0005,21.52,-24.84
5,3.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi']",1.0,3.0,10000,10350.96,350.96,3.51,3.52,0.02,0.01,0.26,13.79,19,5.26,1.24,18.47,1832.79,-123.41,0.00075,0.0005,21.52,-18.01
6,4.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi']",1.0,4.0,10000,10350.96,350.96,3.51,3.52,0.02,0.01,0.26,13.79,19,5.26,1.24,18.47,1832.79,-123.41,0.00075,0.0005,21.52,-18.01
7,5.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi']",1.0,5.0,10000,10350.96,350.96,3.51,3.52,0.02,0.01,0.26,13.79,19,5.26,1.24,18.47,1832.79,-123.41,0.00075,0.0005,21.52,-18.01
15,1.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,1.0,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
16,1.5,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,1.5,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
17,2.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,2.0,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
18,2.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.5,3.0,10000,9700.41,-299.59,-3.0,-3.0,-0.12,-0.0,-1.0,3.0,2,0.0,0.0,-149.79,-118.77,-180.82,0.00075,0.0005,21.52,-24.52
19,3.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,3.0,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
20,4.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,4.0,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
21,5.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,5.0,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
22,1.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi']",1.0,1.0,10000,10252.43,252.43,2.52,2.53,0.02,0.01,0.17,14.61,20,5.0,1.16,12.62,1815.34,-122.23,0.00075,0.0005,21.52,-19.0
23,1.5,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi']",1.0,1.5,10000,10252.43,252.43,2.52,2.53,0.02,0.01,0.17,14.61,20,5.0,1.16,12.62,1815.34,-122.23,0.00075,0.0005,21.52,-19.0
24,2.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi']",1.0,2.0,10000,10252.43,252.43,2.52,2.53,0.02,0.01,0.17,14.61,20,5.0,1.16,12.62,1815.34,-122.23,0.00075,0.0005,21.52,-19.0
25,2.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi']",1.5,3.0,10000,9535.64,-464.36,-4.64,-4.66,-0.01,-0.0,-0.23,20.23,20,5.0,0.79,-23.22,1695.79,-169.22,0.00075,0.0005,21.52,-26.16
26,3.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi']",1.0,3.0,10000,10252.43,252.43,2.52,2.53,0.02,0.01,0.17,14.61,20,5.0,1.16,12.62,1815.34,-122.23,0.00075,0.0005,21.52,-19.0
27,4.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi']",1.0,4.0,10000,10252.43,252.43,2.52,2.53,0.02,0.01,0.17,14.61,20,5.0,1.16,12.62,1815.34,-122.23,0.00075,0.0005,21.52,-19.0
28,5.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi']",1.0,5.0,10000,10252.43,252.43,2.52,2.53,0.02,0.01,0.17,14.61,20,5.0,1.16,12.62,1815.34,-122.23,0.00075,0.0005,21.52,-19.0
36,1.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,1.0,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
37,1.5,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,1.5,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
38,2.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,2.0,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
39,2.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.5,3.0,10000,9700.41,-299.59,-3.0,-3.0,-0.12,-0.0,-1.0,3.0,2,0.0,0.0,-149.79,-118.77,-180.82,0.00075,0.0005,21.52,-24.52
40,3.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,3.0,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
41,4.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,4.0,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
42,5.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,21,12,26,9,False,20,False,0.3,14,"['supertrend', 'rsi', 'macd']",1.0,5.0,10000,9791.54,-208.46,-2.08,-2.09,-0.12,-0.0,-1.0,2.08,2,0.0,0.0,-104.23,-83.34,-125.11,0.00075,0.0005,21.52,-23.6
43,1.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,26,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi']",1.0,1.0,10000,10350.96,350.96,3.51,3.52,0.02,0.01,0.26,13.79,19,5.26,1.24,18.47,1832.79,-123.41,0.00075,0.0005,21.52,-18.01
44,1.5,none,100,hybrid,14,20,7,1.5,14,25,70,9,26,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi']",1.0,1.5,10000,10350.96,350.96,3.51,3.52,0.02,0.01,0.26,13.79,19,5.26,1.24,18.47,1832.79,-123.41,0.00075,0.0005,21.52,-18.01
45,2.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,26,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi']",1.0,2.0,10000,10350.96,350.96,3.51,3.52,0.02,0.01,0.26,13.79,19,5.26,1.24,18.47,1832.79,-123.41,0.00075,0.0005,21.52,-18.01
46,2.0,none,100,hybrid,14,20,7,1.5,14,25,70,9,26,12,26,9,True,20,False,0.3,14,"['supertrend', 'rsi']",1.5,3.0,10000,9667.65,-332.35,-3.32,-3.33,-0.0,-0.0,-0.17,19.13,19,5.26,0.84,-17.49,1719.27,-171.56,0.00075,0.0005,21.52,-24.84
