id,profit_factor,total_return_pct,max_drawdown_pct,num_trades,win_rate_pct,sharpe_ratio,entry_indicators,regime_type,sl_atr_multiplier,tp_atr_multiplier,use_volume_filter,supertrend_length,supertrend_multiplier,rsi_oversold,rsi_overbought
2683,2.72,44.24,14.01,15,33.33,0.1,"['supertrend', 'rsi']",none,2.5,5.0,True,14.0,2.0,30.0,70.0
2619,2.72,44.24,14.01,15,33.33,0.1,"['supertrend', 'rsi']",none,2.5,5.0,True,14.0,2.0,30.0,70.0
2363,2.72,44.24,14.01,15,33.33,0.1,"['supertrend', 'rsi']",ema_adx,2.5,5.0,True,14.0,2.0,30.0,70.0
2427,2.72,44.24,14.01,15,33.33,0.1,"['supertrend', 'rsi']",ema_adx,2.5,5.0,True,14.0,2.0,30.0,70.0
2491,2.72,44.24,14.01,15,33.33,0.1,"['supertrend', 'rsi']",sma_adx,2.5,5.0,True,14.0,2.0,30.0,70.0
2555,2.72,44.24,14.01,15,33.33,0.1,"['supertrend', 'rsi']",sma_adx,2.5,5.0,True,14.0,2.0,30.0,70.0
2553,2.64,23.71,5.28,9,33.33,0.08,"['supertrend', 'rsi']",sma_adx,2.5,5.0,True,10.0,2.0,30.0,70.0
2617,2.64,23.71,5.28,9,33.33,0.08,"['supertrend', 'rsi']",none,2.5,5.0,True,10.0,2.0,30.0,70.0
2489,2.64,23.71,5.28,9,33.33,0.08,"['supertrend', 'rsi']",sma_adx,2.5,5.0,True,10.0,2.0,30.0,70.0
2361,2.64,23.71,5.28,9,33.33,0.08,"['supertrend', 'rsi']",ema_adx,2.5,5.0,True,10.0,2.0,30.0,70.0
2681,2.64,23.71,5.28,9,33.33,0.08,"['supertrend', 'rsi']",none,2.5,5.0,True,10.0,2.0,30.0,70.0
2425,2.64,23.71,5.28,9,33.33,0.08,"['supertrend', 'rsi']",ema_adx,2.5,5.0,True,10.0,2.0,30.0,70.0
2347,2.59,42.44,15.08,16,31.25,0.1,"['supertrend', 'rsi']",ema_adx,2.5,5.0,False,14.0,2.0,30.0,70.0
2411,2.59,42.44,15.08,16,31.25,0.1,"['supertrend', 'rsi']",ema_adx,2.5,5.0,False,14.0,2.0,30.0,70.0
2475,2.59,42.44,15.08,16,31.25,0.1,"['supertrend', 'rsi']",sma_adx,2.5,5.0,False,14.0,2.0,30.0,70.0
2603,2.59,42.44,15.08,16,31.25,0.1,"['supertrend', 'rsi']",none,2.5,5.0,False,14.0,2.0,30.0,70.0
2539,2.59,42.44,15.08,16,31.25,0.1,"['supertrend', 'rsi']",sma_adx,2.5,5.0,False,14.0,2.0,30.0,70.0
2667,2.59,42.44,15.08,16,31.25,0.1,"['supertrend', 'rsi']",none,2.5,5.0,False,14.0,2.0,30.0,70.0
2409,2.42,22.16,5.61,10,30.0,0.08,"['supertrend', 'rsi']",ema_adx,2.5,5.0,False,10.0,2.0,30.0,70.0
2345,2.42,22.16,5.61,10,30.0,0.08,"['supertrend', 'rsi']",ema_adx,2.5,5.0,False,10.0,2.0,30.0,70.0
